實體主機	VM 名稱	用途	vCPU	RAM (GB)	系統碟 (GB)	日誌碟 (GB)	總磁碟 (GB)	所在實體機	備註
實體主機 #2	使用率計算	HDD 使用率	0	0	0	=ROUND(F9/E28*100,1)&"%"	0	#2	HDD 使用率
實體主機 #3	實體硬體規格	CPU	32	0	0	0	0	#3	雙路 16C = 32 實體核心 (64 vCPU)
實體主機 #3	實體硬體規格	RAM	0	128	0	0	0	#3	128GB RAM
實體主機 #3	實體硬體規格	SSD (RAID1)	0	0	960	0	960	#3	2x 960GB SSD (RAID1) = 960GB 可用
實體主機 #3	實體硬體規格	HDD (RAID10)	0	0	0	8000	8000	#3	4x 4TB HDD (RAID10) = 8TB 可用
實體主機 #3	使用率計算	CPU 使用率	=ROUND(C10/C37*100,1)&"%"	0	0	0	0	#3	實體核心使用率
實體主機 #3	使用率計算	RAM 使用率	0	=ROUND(D10/D38*100,1)&"%"	0	0	0	#3	記憶體使用率
實體主機 #3	使用率計算	SSD 使用率	0	0	=ROUND(E10/E39*100,1)&"%"	0	0	#3	SSD 使用率
實體主機 #3	使用率計算	HDD 使用率	0	0	0	=ROUND(F10/E40*100,1)&"%"	0	#3	HDD 使用率
總計	所有 VM 資源總計	vCPU	=SUM(C2:C7)	0	0	0	0	全部	所有 VM vCPU 需求
總計	所有 VM 資源總計	RAM (GB)	0	=SUM(D2:D7)	0	0	0	全部	所有 VM RAM 需求
總計	所有 VM 資源總計	系統碟 (GB)	0	0	=SUM(E2:E7)	0	0	全部	所有 VM 系統碟需求
總計	所有 VM 資源總計	日誌碟 (GB)	0	0	0	=SUM(F2:F7)	0	全部	所有 VM 日誌碟需求
總計	所有 VM 資源總計	總磁碟 (GB)	0	0	0	0	=SUM(G2:G7)	全部	所有 VM 總磁碟需求
總計	實體硬體總容量	CPU	=SUM(C13+C25+C37)	0	0	0	0	全部	3台主機 CPU 總容量
總計	實體硬體總容量	RAM (GB)	0	=SUM(D14+D26+D38)	0	0	0	全部	3台主機 RAM 總容量
總計	實體硬體總容量	SSD (GB)	0	0	=SUM(E15+E27+E39)	0	0	全部	3台主機 SSD 總容量
總計	實體硬體總容量	HDD (GB)	0	0	0	=SUM(F16+F28+F40)	0	全部	3台主機 HDD 總容量
總計	整體資源使用率	CPU 使用率	=ROUND(C45/C53*100,1)&"%"	0	0	0	0	全部	整體 CPU 使用率
總計	整體資源使用率	RAM 使用率	0	=ROUND(D46/D54*100,1)&"%"	0	0	0	全部	整體 RAM 使用率
總計	整體資源使用率	SSD 使用率	0	0	=ROUND(E47/E55*100,1)&"%"	0	0	全部	整體 SSD 使用率
總計	整體資源使用率	HDD 使用率	0	0	0	=ROUND(F48/E56*100,1)&"%"	0	全部	整體 HDD 使用率

